token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
collis	collis	_	Sing	_	_	Nom	_	_	NOMcom
apparuit	appareo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Quo	qui	_	Sing	_	_	Abl	MascNeut	1	ADVrel
uiso	uideo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
utilius	utile	Comp	_	_	_	_	_	_	ADV
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
credidit	credo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
corpus	corpus	_	Sing	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
puerulum	puerulus	_	Sing	_	_	Acc	_	_	NOMcom
illuc	illuc	Pos	_	_	_	_	_	_	ADV
deferri	defero	_	_	_	Inf|Pres|Pass	_	_	_	VER
quam	quam	_	_	_	_	_	_	1	ADVrel
marinis	marinus	Pos	Plur	_	_	Dat	Com	_	ADJqua
beluis	bellua	_	Plur	_	_	Dat	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
deuorandum	deuoro	_	Sing	_	Ger|_|Act	Acc	_	_	VER
dari	do	_	_	_	Inf|Pres|Pass	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
uix	uix	Pos	_	_	_	_	_	_	ADV
a	ab	_	_	_	_	_	_	_	PRE
nautis	nauta	_	Plur	_	_	Abl	_	_	NOMcom
prece	prex	_	Sing	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
pretio	pretium	_	Sing	_	_	Abl	_	_	NOMcom
extorsit	extorqueo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
illic	illic	Pos	_	_	_	_	_	2	ADV
applicarent	applico	_	Plur	3	Sub|Impa|Act	_	_	_	VER

Cumque	cum界que	_	_	_	_	_	_	3	CONsub
illic	illic	_	_	_	_	_	_	2	ADV
prae	prae	_	_	_	_	_	_	2	PRE
duritia	duritia	_	Sing	_	_	Abl	_	_	NOMcom
foueam	fouea	_	Sing	_	_	Acc	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
potuisset	possum	_	Sing	3	Sub|Pqp|Act	_	_	1	VER
effodere	effodio	_	_	_	Inf|Pres|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
secretiori	secretus	Comp	Sing	_	_	Abl	Com	_	ADJqua
parte	pars	_	Sing	_	_	Abl	_	_	NOMcom
collis	collis	_	Sing	_	_	Gen	_	_	NOMcom
chlamyde	chlamys	_	Sing	_	_	Abl	_	_	NOMcom
supposita	suppono	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
corpus	corpus	_	Sing	_	_	Acc	_	_	NOMcom
collocauit	colloco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
puerulum	puerulus	_	Sing	_	_	Acc	_	_	NOMcom
mammis	mamma	_	Plur	_	_	Abl	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
apponens	appono	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
lacrimis	lacrima	_	Plur	_	_	Abl	_	_	NOMcom
ait	aio	_	Sing	3	Ind|Pres|Act	_	_	_	VER

O	o	_	_	_	_	_	_	_	INJ
Maria	Maria	_	Sing	_	_	Voc	_	_	NOMpro
Magdalena	Magdalene	_	Sing	_	_	Voc	_	_	NOMpro
