token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
praedicari	praedico	_	_	_	Inf|Pres|Pass	_	_	1	VER
possit	possum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
tum	tum	Pos	_	_	_	_	_	_	ADV
notior	notus	Comp	Sing	_	_	Nom	MascFem	2	ADJqua
ubique	ubique	Pos	_	_	_	_	_	_	ADV
atque	atque	_	_	_	_	_	_	1	CONcoo
illustrior	illustris	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
quam	quam	_	_	_	_	_	_	1	ADVrel
ut	ut	_	_	_	_	_	_	4	CONsub
debeat	debeo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
nisi	nisi	_	_	_	_	_	_	_	CONsub
uideri	uideo	_	_	_	Inf|Pres|Pass	_	_	_	VER
uelim	uolo	_	Sing	1	Sub|Pres|Act	_	_	3	VER
solem	sol	_	Sing	_	_	Acc	_	_	NOMcom
lucerna	lucerna	_	Sing	_	_	Abl	_	_	NOMcom
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
aiunt	aio	_	Plur	3	Ind|Pres|Act	_	_	_	VER
ostendere	ostendo	_	_	_	Inf|Pres|Act	_	_	_	VER

occurrerunt	occurro	_	Plur	3	Ind|Perf|Act	_	_	_	VER
nobis	nos	_	Plur	_	_	Dat	_	_	PROper
Brugis	Brugae	_	Plur	_	_	Abl	_	_	NOMpro
sic	sic	Pos	_	_	_	_	_	_	ADV
enim	enim	_	_	_	_	_	_	2	CONcoo
conuenerat	conuenio	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
hi	hic	_	Plur	_	_	Nom	Masc	1	PROdem
quibus	qui	_	Plur	_	_	Dat	Com	1	PROrel
a	ab	_	_	_	_	_	_	_	PRE
principe	princeps	_	Sing	_	_	Abl	_	1	NOMcom
negotium	negotium	_	Sing	_	_	Nom	_	_	NOMcom
demandabatur	demando	_	Sing	3	Ind|Impa|Pass	_	_	2	VER
egregii	egregius	Pos	Plur	_	_	Nom	Masc	_	ADJqua
uiri	uir	_	Plur	_	_	Nom	_	_	NOMcom
omnes	omnis	_	Plur	_	_	Nom	MascFem	_	PROind

in	in	_	_	_	_	_	_	_	PRE
his	hic	_	Plur	_	_	Abl	Com	1	PROdem
praefectus	praefectus	_	Sing	_	_	Nom	_	_	NOMcom
Brugensis	Brugensis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
uir	uir	_	Sing	_	_	Nom	_	_	NOMcom
magnificus	magnificus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
princeps	princeps	_	Sing	_	_	Nom	_	1	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
caput	caput	_	Sing	_	_	Nom	_	_	NOMcom
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
ceterum	ceterum	Pos	_	_	_	_	_	2	ADV
os	os	_	Sing	_	_	Nom	_	1	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
pectus	pectus	_	Sing	_	_	Nom	_	_	NOMcom
Georgius	Georgius	_	Sing	_	_	Nom	_	_	NOMpro
Temsicius	Temsicius	_	Sing	_	_	Nom	_	_	NOMpro
Cassiletanus	Cassiletanus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
Praepositus	praepositus	_	Sing	_	_	Nom	_	1	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
arte	ars	_	Sing	_	_	Abl	_	_	NOMcom
solum	solum	Pos	_	_	_	_	_	2	ADV
uerum	uerum	_	_	_	_	_	_	4	CONcoo
etiam	etiam	Pos	_	_	_	_	_	_	ADV
natura	natura	_	Sing	_	_	Abl	_	_	NOMcom
facundus	facundus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
ad	ad	_	_	_	_	_	_	2	PRE
haec	hic	_	Plur	_	_	Acc	Neut	1	PROdem
iureconsultissimus	iurisconsultus	Sup	Sing	_	_	Nom	Masc	_	ADJqua
tractandi	tracto	_	Sing	_	Adj|_|Pass	Gen	MascNeut	_	VER
uero	uero	_	_	_	_	_	_	4	CONcoo
negotii	negotium	_	Sing	_	_	Gen	_	_	NOMcom
cum	cum	Pos	_	_	_	_	_	1	ADV
ingenio	ingenium	_	Sing	_	_	Abl	_	_	NOMcom
tum	tum	Pos	_	_	_	_	_	_	ADV
assiduo	assiduus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
rerum	res	_	Plur	_	_	Gen	_	_	NOMcom
usu	usus	_	Sing	_	_	Abl	_	_	NOMcom
eximius	eximius	Pos	Sing	_	_	Nom	Masc	_	ADJqua
artifex	artifex	_	Sing	_	_	Nom	_	_	NOMcom

ubi	ubi	_	_	_	_	_	_	3	CONsub
semel	semel	_	_	_	_	_	_	_	ADJadv.mul
atque	atque	_	_	_	_	_	_	1	CONcoo
iterum	iterum	Pos	_	_	_	_	_	_	ADV
congressi	congredior	_	Plur	_	Par|Perf|Dep	Nom	Masc	_	VER
quibusdam	quidam	_	Plur	_	_	Abl	Com	_	PROind
de	de	_	_	_	_	_	_	_	PRE
rebus	res	_	Plur	_	_	Abl	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
satis	satis	Pos	_	_	_	_	_	2	ADV
consentiremus	consentio	_	Plur	1	Sub|Impa|Act	_	_	_	VER
illi	ille	_	Plur	_	_	Nom	Masc	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
aliquot	aliquot	_	_	_	_	Ind	_	_	PROind
dies	dies	_	Plur	_	_	Acc	_	_	NOMcom
uale	ualeo	_	Sing	2	Imp|Pres|Act	_	_	_	VER
nobis	nos	_	Plur	_	_	Dat	_	_	PROper
dicto	dictum	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	NOMcom
Bruxellas	Bruxellae	_	Plur	_	_	Acc	_	_	NOMpro
profecti	proficiscor	_	Plur	_	Par|Perf|Dep	Nom	Masc	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER
principis	princeps	_	Sing	_	_	Gen	_	1	NOMcom
oraculum	oraculum	_	Sing	_	_	Acc	_	_	NOMcom
sciscitaturi	sciscitor	_	Plur	_	Par|Fut|Dep	Nom	Masc	_	VER

ego	ego	_	Sing	_	_	Nom	_	_	PROper
me	ego	_	Sing	_	_	Acc	_	_	PROper
interim	interim	Pos	_	_	_	_	_	_	ADV
sic	sic	Pos	_	_	_	_	_	_	ADV
enim	enim	_	_	_	_	_	_	2	CONcoo
res	res	_	Sing	_	_	Nom	_	_	NOMcom
ferebat	fero	_	Sing	3	Ind|Impa|Act	_	_	_	VER
Antuerpiam	Antuerpia	_	Sing	_	_	Acc	_	_	NOMpro
confero	confero	_	Sing	1	Ind|Pres|Act	_	_	_	VER

ibi	ibi	Pos	_	_	_	_	_	_	ADV
dum	dum	_	_	_	_	_	_	2	CONsub
uersor	uersor	_	Sing	1	Ind|Pres|Dep	_	_	_	VER
saepe	saepe	Pos	_	_	_	_	_	_	ADV
me	ego	_	Sing	_	_	Acc	_	_	PROper
inter	inter	_	_	_	_	_	_	_	PRE
alios	alius	_	Plur	_	_	Acc	Masc	_	PROind
sed	sed	_	_	_	_	_	_	_	CONcoo
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
non	non	_	_	_	_	_	_	_	ADVneg
alius	alius	_	Sing	_	_	Nom	Masc	_	PROind
gratior	gratus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
inuisit	inuiso	_	Sing	3	Ind|Perf|Act	_	_	_	VER
Petrus	Petrus	_	Sing	_	_	Nom	_	_	NOMpro
Aegidius	Aegidius	_	Sing	_	_	Nom	_	_	NOMpro
Antuerpiae	Antuerpia	_	Sing	_	_	Loc	_	_	NOMpro
natus	nascor	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
magna	magnus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
fide	fides	_	Sing	_	_	Abl	_	2	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
loco	locus	_	Sing	_	_	Abl	_	_	NOMcom
apud	apud	_	_	_	_	_	_	_	PRE
suos	sui	_	Plur	_	_	Acc	Masc	2	PROpos.ref
honesto	honestus	_	Sing	_	_	Abl	_	_	NOMcom
dignus	dignus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
honestissimo	honestus	Sup	Sing	_	_	Abl	MascNeut	_	ADJqua
quippe	quippe	_	_	_	_	_	_	2	CONcoo
iuuenis	iuuenis	_	Sing	_	_	Nom	_	1	NOMcom
haud	haud	_	_	_	_	_	_	_	ADVneg
scio	scio	_	Sing	1	Ind|Pres|Act	_	_	_	VER
doctiorne	doctus界ne	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
an	an	_	_	_	_	_	_	_	ADVint
moratior	moratus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua

est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
enim	enim	_	_	_	_	_	_	2	CONcoo
optimus	bonus	Sup	Sing	_	_	Nom	Masc	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
litteratissimus	litteratus	Sup	Sing	_	_	Nom	Masc	_	ADJqua
ad	ad	_	_	_	_	_	_	2	PRE
haec	hic	_	Plur	_	_	Acc	Neut	1	PROdem
animo	animus	_	Sing	_	_	Abl	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
omnes	omnis	_	Plur	_	_	Acc	MascFem	_	PROind
candido	candidus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
in	in	_	_	_	_	_	_	_	PRE
amicos	amicus	_	Plur	_	_	Acc	_	1	NOMcom
uero	uero	Pos	_	_	_	_	_	3	ADV
tam	tam	Pos	_	_	_	_	_	_	ADV
propenso	propensus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
pectore	pectus	_	Sing	_	_	Abl	_	_	NOMcom
amore	amor	_	Sing	_	_	Abl	_	_	NOMcom
fide	fides	_	Sing	_	_	Abl	_	2	NOMcom
adfectu	affectus	_	Sing	_	_	Abl	_	1	NOMcom
tam	tam	Pos	_	_	_	_	_	_	ADV
sincero	sincerus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
ut	ut	_	_	_	_	_	_	4	CONsub
uix	uix	Pos	_	_	_	_	_	_	ADV
unum	unus	_	Sing	_	_	Acc	MascNeut	_	ADJcar
aut	aut	_	_	_	_	_	_	_	CONcoo
alterum	alter	_	Sing	_	_	Acc	MascNeut	_	PROind
usquam	usquam	Pos	_	_	_	_	_	_	ADV
inuenias	inuenio	_	Sing	2	Sub|Pres|Act	_	_	_	VER
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
illi	illi	Pos	_	_	_	_	_	_	ADV
sentias	sentio	_	Sing	2	Sub|Pres|Act	_	_	_	VER
omnibus	omnis	_	Plur	_	_	Dat	Com	_	PROind
amicitiae	amicitia	_	Sing	_	_	Gen	_	_	NOMcom
numeris	numerus	_	Plur	_	_	Dat	_	_	NOMcom
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
conferendum	confero	_	Sing	_	Adj|_|Pass	Acc	MascNeut	_	VER

rara	rarus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
illi	ille	_	Sing	_	_	Dat	Com	_	PROdem
modestia	modestia	_	Sing	_	_	Nom	_	_	NOMcom
nemini	nemo	_	Sing	_	_	Dat	_	_	PROind
longius	longe	Comp	_	_	_	_	_	_	ADV
abest	absum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
fucus	fucus	_	Sing	_	_	Nom	_	1	NOMcom
nulli	nullus	_	Sing	_	_	Dat	Com	_	PROind
simplicitas	simplicitas	_	Sing	_	_	Nom	_	_	NOMcom
inest	insum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
prudentior	prudens	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
porro	porro	Pos	_	_	_	_	_	_	ADV
sermone	sermo	_	Sing	_	_	Abl	_	_	NOMcom
tam	tam	Pos	_	_	_	_	_	_	ADV
lepidus	lepidus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
tam	tam	Pos	_	_	_	_	_	_	ADV
innoxie	innoxie	Pos	_	_	_	_	_	_	ADV
facetus	facetus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
ut	ut	_	_	_	_	_	_	4	CONsub
patriae	patria	_	Sing	_	_	Gen	_	_	NOMcom
desiderium	desiderium	_	Sing	_	_	Nom	_	_	NOMcom
ac	ac	_	_	_	_	_	_	1	CONcoo
laris	Lar	_	Sing	_	_	Gen	_	_	NOMpro
domestici	domesticus	Pos	Sing	_	_	Gen	MascNeut	2	ADJqua
uxoris	uxor	_	Sing	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
liberorum	liberi	_	Plur	_	_	Gen	_	_	NOMcom
quorum	qui	_	Plur	_	_	Gen	MascNeut	1	PROrel
studio	studium	_	Sing	_	_	Abl	_	_	NOMcom
reuisendorum	reuiso	_	Plur	_	Adj|_|Pass	Gen	MascNeut	_	VER
nimis	nimis	Pos	_	_	_	_	_	_	ADV
quam	quam	_	_	_	_	_	_	1	ADVrel
anxie	anxie	Pos	_	_	_	_	_	_	ADV
tenebar	teneo	_	Sing	1	Ind|Impa|Pass	_	_	_	VER
iam	iam	Pos	_	_	_	_	_	_	ADV
tum	tum	Pos	_	_	_	_	_	_	ADV
enim	enim	_	_	_	_	_	_	2	CONcoo
plus	multum	Comp	_	_	_	_	_	2	ADV
quattuor	quatuor	_	_	_	_	Ind	_	_	ADJcar
mensibus	mensis	_	Plur	_	_	Abl	_	_	NOMcom
abfueram	absum	_	Sing	1	Ind|Pqp|Act	_	_	1	VER
domo	domus	_	Sing	_	_	Abl	_	_	NOMcom
magna	magnus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
ex	ex	_	_	_	_	_	_	_	PRE
parte	pars	_	Sing	_	_	Abl	_	_	NOMcom
mihi	ego	_	Sing	_	_	Dat	_	_	PROper
dulcissima	dulcis	Sup	Sing	_	_	Abl	Fem	_	ADJqua
consuetudine	consuetudo	_	Sing	_	_	Abl	_	_	NOMcom
sua	suus	_	Sing	_	_	Abl	Fem	_	PROpos.ref
et	et	_	_	_	_	_	_	2	CONcoo
mellitissima	mellitus	Sup	Sing	_	_	Abl	Fem	_	ADJqua
confabulatione	confabulatio	_	Sing	_	_	Abl	_	_	NOMcom
leuauerit	leuo	_	Sing	3	Sub|Perf|Act	_	_	1	VER

hunc	hic	_	Sing	_	_	Acc	Masc	1	PROdem
cum	cum	_	_	_	_	_	_	3	CONsub
die	dies	_	Sing	_	_	Abl	_	_	NOMcom
quadam	quidam	_	Sing	_	_	Abl	Fem	_	PROind
in	in	_	_	_	_	_	_	_	PRE
templo	templum	_	Sing	_	_	Abl	_	_	NOMcom
diuae	diuus	Pos	Sing	_	_	Gen	Fem	2	ADJqua
Mariae	Maria	_	Sing	_	_	Gen	_	_	NOMpro
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
et	et	_	_	_	_	_	_	2	CONcoo
opere	opus	_	Sing	_	_	Abl	_	1	NOMcom
pulcherrimum	pulcher	Sup	Sing	_	_	Nom	Neut	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
populo	populus	_	Sing	_	_	Dat	_	1	NOMcom
celeberrimum	celeber	Sup	Sing	_	_	Nom	Neut	_	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
rei	res	_	Sing	_	_	Dat	_	_	NOMcom
diuinae	diuinus	Pos	Sing	_	_	Dat	Fem	2	ADJqua
interfuissem	intersum	_	Sing	1	Sub|Pqp|Act	_	_	1	VER
atque	atque	_	_	_	_	_	_	1	CONcoo
peracto	perago	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
sacro	sacrum	_	Sing	_	_	Abl	_	_	NOMcom
pararem	paro	_	Sing	1	Sub|Impa|Act	_	_	2	VER
inde	inde	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
hospitium	hospitium	_	Sing	_	_	Acc	_	_	NOMcom
redire	redeo	_	_	_	Inf|Pres|Act	_	_	1	VER
forte	forte	Pos	_	_	_	_	_	_	ADV
colloquentem	colloquor	_	Sing	_	Par|Pres|Dep	Acc	MascFem	_	VER
uideo	uideo	_	Sing	1	Ind|Pres|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	2	PRE
hospite	hospes	_	Sing	_	_	Abl	_	_	NOMcom
quodam	quidam	_	Sing	_	_	Abl	MascNeut	_	PROind
uergentis	uergo	_	Sing	_	Par|Pres|Act	Gen	Com	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
senium	senium	_	Sing	_	_	Acc	_	_	NOMcom
aetatis	aetas	_	Sing	_	_	Gen	_	_	NOMcom
uultu	uultus	_	Sing	_	_	Abl	_	_	NOMcom
adusto	aduro	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
promissa	promitto	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
barba	barba	_	Sing	_	_	Abl	_	_	NOMcom
penula	paenula	_	Sing	_	_	Abl	_	_	NOMcom
neglectim	neglectim	Pos	_	_	_	_	_	_	ADV
ab	ab	_	_	_	_	_	_	_	PRE
humero	humerus	_	Sing	_	_	Abl	_	_	NOMcom
dependente	dependeo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
mihi	ego	_	Sing	_	_	Dat	_	_	PROper
ex	ex	_	_	_	_	_	_	_	PRE
uultu	uultus	_	Sing	_	_	Abl	_	_	NOMcom
atque	atque	_	_	_	_	_	_	1	CONcoo
habitu	habitus	_	Sing	_	_	Abl	_	1	NOMcom
nauclerus	nauclerus	_	Sing	_	_	Nom	_	_	NOMcom
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
uidebatur	uideo	_	Sing	3	Ind|Impa|Pass	_	_	_	VER

at	at	_	_	_	_	_	_	2	CONcoo
Petrus	Petrus	_	Sing	_	_	Nom	_	_	NOMpro
ubi	ubi	_	_	_	_	_	_	3	CONsub
me	ego	_	Sing	_	_	Acc	_	_	PROper
conspexit	conspicio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
adit	adeo	_	Sing	3	Ind|Pres|Act	_	_	1	VER
ac	ac	_	_	_	_	_	_	1	CONcoo
salutat	saluto	_	Sing	3	Ind|Pres|Act	_	_	_	VER

respondere	respondeo	_	_	_	Inf|Pres|Act	_	_	_	VER
conantem	conor	_	Sing	_	Par|Pres|Dep	Acc	MascFem	_	VER
seducit	seduco	_	Sing	3	Ind|Pres|Act	_	_	_	VER
paululum	paululum	Pos	_	_	_	_	_	2	ADV
et	et	_	_	_	_	_	_	2	CONcoo
uides	uideo	_	Sing	2	Ind|Pres|Act	_	_	_	VER
inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
hunc	hic	_	Sing	_	_	Acc	Masc	1	PROdem

simul	simul	Pos	_	_	_	_	_	1	ADV
designabat	designo	_	Sing	3	Ind|Impa|Act	_	_	_	VER
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
cum	cum	_	_	_	_	_	_	2	PRE
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
loquentem	loquor	_	Sing	_	Par|Pres|Dep	Acc	MascFem	_	VER
uideram	uideo	_	Sing	1	Ind|Pqp|Act	_	_	_	VER
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
iam	iam	Pos	_	_	_	_	_	_	ADV
hinc	hinc	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
te	tu	_	Sing	_	_	Acc	_	_	PROper
recta	recta	Pos	_	_	_	_	_	_	ADV
parabam	paro	_	Sing	1	Ind|Impa|Act	_	_	2	VER
ducere	duco	_	_	_	Inf|Pres|Act	_	_	_	VER

uenisset	uenio	_	Sing	3	Sub|Pqp|Act	_	_	_	VER
inquam	inquio	_	Sing	1	Ind|Pres|Act	_	_	_	VER
pergratus	pergratus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
mihi	ego	_	Sing	_	_	Dat	_	_	PROper
tua	tuus	_	Sing	_	_	Abl	Fem	_	PROpos
causa	causa	_	Sing	_	_	Abl	_	_	NOMcom

immo	immo	Pos	_	_	_	_	_	_	ADV
inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
si	si	_	_	_	_	_	_	2	CONsub
nosses	nosco	_	Sing	2	Sub|Pqp|Act	_	_	_	VER
hominem	homo	_	Sing	_	_	Acc	_	_	NOMcom
sua	suus	_	Sing	_	_	Abl	Fem	_	PROpos.ref

nam	nam	_	_	_	_	_	_	_	CONcoo
nemo	nemo	_	Sing	_	_	Nom	_	_	PROind
uiuit	uiuo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
hodie	hodie	Pos	_	_	_	_	_	_	ADV
mortalium	mortalis	_	Plur	_	_	Gen	_	1	NOMcom
omnium	omnis	_	Plur	_	_	Gen	Com	_	PROind
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
tantam	tantus	_	Sing	_	_	Acc	Fem	_	PROdem
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
hominum	homo	_	Plur	_	_	Gen	_	_	NOMcom
terrarumque	terra界que	_	Plur	_	_	Gen	_	_	NOMcom
incognitarum	incognitus	Pos	Plur	_	_	Gen	Fem	_	ADJqua
narrare	narro	_	_	_	Inf|Pres|Act	_	_	_	VER
possit	possum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
historiam	historia	_	Sing	_	_	Acc	_	_	NOMcom

quarum	qui	_	Plur	_	_	Gen	Fem	1	PROrel
rerum	res	_	Plur	_	_	Gen	_	_	NOMcom
audiendarum	audio	_	Plur	_	Adj|_|Pass	Gen	Fem	_	VER
scio	scio	_	Sing	1	Ind|Pres|Act	_	_	_	VER
auidissimum	auidus	Sup	Sing	_	_	Acc	MascNeut	_	ADJqua
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper

ergo	ergo	_	_	_	_	_	_	2	CONcoo
inquam	inquio	_	Sing	1	Ind|Pres|Act	_	_	_	VER
non	non	_	_	_	_	_	_	_	ADVneg
pessime	male	Sup	_	_	_	_	_	_	ADV
coniectaui	coniecto	_	Sing	1	Ind|Perf|Act	_	_	_	VER

nam	nam	_	_	_	_	_	_	_	CONcoo
primo	primus	Sup	Sing	_	_	Abl	MascNeut	_	ADJord
