token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
uoluntati	uoluntas	_	Sing	_	_	Dat	_	_	NOMcom
uoluntas	uoluntas	_	Sing	_	_	Nom	_	_	NOMcom
quoque	quoque	Pos	_	_	_	_	_	_	ADV
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
accederet	accedo	_	Sing	3	Sub|Impa|Act	_	_	1	VER
nisi	nisi	_	_	_	_	_	_	_	CONsub
forte	forte	Pos	_	_	_	_	_	_	ADV
non	non	_	_	_	_	_	_	_	ADVneg
legeras	lego	_	Sing	2	Ind|Pqp|Act	_	_	2	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
audieras	audio	_	Sing	2	Ind|Pqp|Act	_	_	_	VER
uel	uel	_	_	_	_	_	_	2	CONcoo
non	non	_	_	_	_	_	_	_	ADVneg
adtenderas	attendo	_	Sing	2	Ind|Pqp|Act	_	_	_	VER
apostolum	apostolus	_	Sing	_	_	Acc	_	_	NOMcom
dicentem	dico	_	Sing	_	Par|Pres|Act	Acc	MascFem	2	VER
Bonum	bonus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
homini	homo	_	Sing	_	_	Dat	_	_	NOMcom
mulierem	mulier	_	Sing	_	_	Acc	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
tangere	tango	_	_	_	Inf|Pres|Act	_	_	_	VER

propter	propter	_	_	_	_	_	_	2	PRE
fornicationes	fornicatio	_	Plur	_	_	Acc	_	_	NOMcom
autem	autem	_	_	_	_	_	_	_	CONcoo
unusquisque	unusquisque	_	Sing	_	_	Nom	Masc	_	PROind
suam	suus	_	Sing	_	_	Acc	Fem	_	PROpos.ref
uxorem	uxor	_	Sing	_	_	Acc	_	_	NOMcom
habeat	habeo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
unaquaeque	unusquisque	_	Sing	_	_	Nom	Fem	_	PROind
suum	suus	_	Sing	_	_	Acc	MascNeut	_	PROpos.ref
uirum	uir	_	Sing	_	_	Acc	_	_	NOMcom
habeat	habeo	_	Sing	3	Sub|Pres|Act	_	_	_	VER

Uxori	uxor	_	Sing	_	_	Dat	_	_	NOMcom
uir	uir	_	Sing	_	_	Nom	_	_	NOMcom
debitum	debitum	_	Sing	_	_	Acc	_	_	NOMcom
reddat	reddo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
similiter	similiter	Pos	_	_	_	_	_	_	ADV
autem	autem	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	1	ADV
uxor	uxor	_	Sing	_	_	Nom	_	_	NOMcom
uiro	uir	_	Sing	_	_	Dat	_	_	NOMcom

Uxor	uxor	_	Sing	_	_	Nom	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
habet	habeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
potestatem	potestas	_	Sing	_	_	Acc	_	_	NOMcom
corporis	corpus	_	Sing	_	_	Gen	_	_	NOMcom
sui	suus	_	Sing	_	_	Gen	MascNeut	_	PROpos.ref
sed	sed	_	_	_	_	_	_	_	CONcoo
uir	uir	_	Sing	_	_	Nom	_	_	NOMcom

similiter	similiter	Pos	_	_	_	_	_	_	ADV
autem	autem	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
uir	uir	_	Sing	_	_	Nom	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
habet	habeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
potestatem	potestas	_	Sing	_	_	Acc	_	_	NOMcom
corporis	corpus	_	Sing	_	_	Gen	_	_	NOMcom
sui	suus	_	Sing	_	_	Gen	MascNeut	_	PROpos.ref
sed	sed	_	_	_	_	_	_	_	CONcoo
mulier	mulier	_	Sing	_	_	Nom	_	_	NOMcom

nolite	nolo	_	Plur	2	Imp|Pres|Act	_	_	_	VER
fraudare	fraudo	_	_	_	Inf|Pres|Act	_	_	_	VER
inuicem	inuicem	Pos	_	_	_	_	_	_	ADV
nisi	nisi	_	_	_	_	_	_	_	CONsub
ex	ex	_	_	_	_	_	_	_	PRE
consensu	consensus	_	Sing	_	_	Abl	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
tempus	tempus	_	Sing	_	_	Acc	_	1	NOMcom
ut	ut	_	_	_	_	_	_	4	CONsub
uacetis	uaco	_	Plur	2	Sub|Pres|Act	_	_	_	VER
orationi	oratio	_	Sing	_	_	Dat	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
iterum	iterum	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
id	is	_	Sing	_	_	Acc	Neut	_	PROdem
ipsum	ipse	_	Sing	_	_	Acc	Neut	_	PROdem
estote	sum	_	Plur	2	Imp|Fut|Act	_	_	1	VER
ne	ne	_	_	_	_	_	_	4	CONsub
uos	uos	_	Plur	_	_	Acc	_	_	PROper
temptet	tento	_	Sing	3	Sub|Pres|Act	_	_	_	VER
Satanas	Satanas	_	Sing	_	_	Nom	_	_	NOMpro
propter	propter	_	_	_	_	_	_	2	PRE
incontinentiam	incontinentia	_	Sing	_	_	Acc	_	_	NOMcom
uestram	uester	_	Sing	_	_	Acc	Fem	_	PROpos
secundum	secundum	Pos	_	_	_	_	_	2	PRE
haec	hic	_	Plur	_	_	Acc	Neut	1	PROdem
uerba	uerbum	_	Plur	_	_	Acc	_	_	NOMcom
apostolica	apostolicus	Pos	Plur	_	_	Acc	Neut	_	ADJqua

etiam	etiam	Pos	_	_	_	_	_	_	ADV
si	si	_	_	_	_	_	_	2	CONsub
se	sui	_	Sing	_	_	Acc	_	1	PROref
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
continere	contineo	_	_	_	Inf|Pres|Act	_	_	_	VER
uoluisset	uolo	_	Sing	3	Sub|Pqp|Act	_	_	3	VER
et	et	_	_	_	_	_	_	2	CONcoo
tu	tu	_	Sing	_	_	Nom	_	_	PROper
noluisses	nolo	_	Sing	2	Sub|Pqp|Act	_	_	_	VER
debitum	debitum	_	Sing	_	_	Acc	_	_	NOMcom
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
reddere	reddo	_	_	_	Inf|Pres|Act	_	_	_	VER
cogeretur	cogo	_	Sing	3	Sub|Impa|Pass	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
illi	ille	_	Sing	_	_	Dat	Com	_	PROdem
deus	deus	_	Sing	_	_	Nom	_	_	NOMcom
inputaret	imputo	_	Sing	3	Sub|Impa|Act	_	_	_	VER
continentiam	continentia	_	Sing	_	_	Acc	_	_	NOMcom
si	si	_	_	_	_	_	_	2	CONsub
non	non	_	_	_	_	_	_	_	ADVneg
suae	suus	_	Sing	_	_	Dat	Fem	_	PROpos.ref
sed	sed	_	_	_	_	_	_	_	CONcoo
tuae	tuus	_	Sing	_	_	Dat	Fem	_	PROpos
cedens	cedo	_	Sing	_	Par|Pres|Act	Nom	Com	1	VER
infirmitati	infirmitas	_	Sing	_	_	Dat	_	_	NOMcom
ne	ne	_	_	_	_	_	_	4	CONsub
in	in	_	_	_	_	_	_	_	PRE
adulterii	adulterium	_	Sing	_	_	Gen	_	_	NOMcom
damnabile	damnabilis	Pos	Sing	_	_	Acc	Neut	_	ADJqua
flagitium	flagitium	_	Sing	_	_	Acc	_	_	NOMcom
caderes	cado	_	Sing	2	Sub|Impa|Act	_	_	_	VER
maritalem	maritalis	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
concubitum	concubitus	_	Sing	_	_	Acc	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
negaret	nego	_	Sing	3	Sub|Impa|Act	_	_	_	VER

quanto	quanto	_	_	_	_	_	_	1	ADVrel
magis	magis	Comp	_	_	_	_	_	2	ADV
te	tu	_	Sing	_	_	Acc	_	_	PROper
quam	quam	_	_	_	_	_	_	1	ADVrel
magis	magis	Comp	_	_	_	_	_	2	ADV
subiectam	subiectus	Pos	Sing	_	_	Acc	Fem	3	ADJqua
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
decuerat	decet	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
ne	ne	_	_	_	_	_	_	4	CONsub
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
quoque	quoque	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
adulterium	adulterium	_	Sing	_	_	Acc	_	_	NOMcom
diabolica	diabolicus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
temptatione	tentatio	_	Sing	_	_	Abl	_	_	NOMcom
traheretur	traho	_	Sing	3	Sub|Impa|Pass	_	_	_	VER

in	in	_	_	_	_	_	_	_	PRE
reddendo	reddo	_	Sing	_	Adj|_|Pass	Abl	MascNeut	_	VER
huius	hic	_	Sing	_	_	Gen	Com	1	PROdem
modi	modus	_	Sing	_	_	Gen	_	_	NOMcom
debito	debitum	_	Sing	_	_	Abl	_	_	NOMcom
uoluntati	uoluntas	_	Sing	_	_	Dat	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
obtemperare	obtempero	_	_	_	Inf|Pres|Act	_	_	_	VER
conuenerat	conuenio	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
uoluntatem	uoluntas	_	Sing	_	_	Acc	_	_	NOMcom
continendi	contineo	_	Sing	_	Ger|_|Act	Gen	_	_	VER
acceptaret	accepto	_	Sing	3	Sub|Impa|Act	_	_	_	VER
deus	deus	_	Sing	_	_	Nom	_	_	NOMcom
quia	quia	_	_	_	_	_	_	_	CONsub
propterea	propterea	Pos	_	_	_	_	_	_	ADV
non	non	_	_	_	_	_	_	_	ADVneg
faceres	facio	_	Sing	2	Sub|Impa|Act	_	_	_	VER
ne	ne	_	_	_	_	_	_	4	CONsub
periret	pereo	_	Sing	3	Sub|Impa|Act	_	_	1	VER
maritus	maritus	_	Sing	_	_	Nom	_	1	NOMcom

Sed	sed	_	_	_	_	_	_	_	CONcoo
hoc	hic	_	Sing	_	_	Acc	Neut	1	PROdem
ut	ut	_	_	_	_	_	_	1	ADVrel
dixi	dico	_	Sing	1	Ind|Perf|Act	_	_	2	VER
omitto	omitto	_	Sing	1	Ind|Pres|Act	_	_	_	VER
quoniam	quoniam	_	_	_	_	_	_	_	CONsub
postea	postea	Pos	_	_	_	_	_	_	ADV
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
nolenti	nolo	_	Sing	_	Par|Pres|Act	Dat	Com	_	VER
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
ad	ad	_	_	_	_	_	_	2	PRE
reddenda	reddo	_	Plur	_	Adj|_|Pass	Acc	Neut	_	VER
coniugalia	coniugalis	Pos	Plur	_	_	Acc	Neut	_	ADJqua
debita	debitum	_	Plur	_	_	Acc	_	_	NOMcom
consentire	consentio	_	_	_	Inf|Pres|Act	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
eadem	idem	_	Plur	_	_	Acc	Neut	_	PROdem
continentiae	continentia	_	Sing	_	_	Gen	_	_	NOMcom
pacta	pactum	_	Plur	_	_	Acc	_	_	NOMcom
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
consensit	consentio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
tecum	tu界cum	_	Sing	_	_	Abl	_	_	PROper
continentissime	continenter	Sup	_	_	_	_	_	_	ADV
diu	diu	Pos	_	_	_	_	_	_	ADV
uixit	uiuo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
suoque	suus界que	_	Sing	_	_	Abl	MascNeut	_	PROpos.ref
consensu	consensus	_	Sing	_	_	Abl	_	_	NOMcom
a	ab	_	_	_	_	_	_	_	PRE
peccato	peccatum	_	Sing	_	_	Abl	_	_	NOMcom
illo	ille	_	Sing	_	_	Abl	MascNeut	_	PROdem
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
debitum	debitum	_	Sing	_	_	Acc	_	_	NOMcom
carnis	caro	_	Sing	_	_	Gen	_	1	NOMcom
negabas	nego	_	Sing	2	Ind|Impa|Act	_	_	_	VER
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
te	tu	_	Sing	_	_	Acc	_	_	PROper
absoluit	absoluo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

non	non	_	_	_	_	_	_	_	ADVneg
ergo	ergo	_	_	_	_	_	_	2	CONcoo
iam	iam	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
tua	tuus	_	Sing	_	_	Abl	Fem	_	PROpos
causa	causa	_	Sing	_	_	Abl	_	_	NOMcom
ista	iste	_	Sing	_	_	Abl	Fem	_	PROdem
uertitur	uerto	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
quaestio	quaestio	_	Sing	_	_	Nom	_	_	NOMcom
utrum	utrum	_	_	_	_	_	_	_	ADVint
redire	redeo	_	_	_	Inf|Pres|Act	_	_	1	VER
debeas	debeo	_	Sing	2	Sub|Pres|Act	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
concubitum	concubitus	_	Sing	_	_	Acc	_	_	NOMcom
uiri	uir	_	Sing	_	_	Gen	_	_	NOMcom
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
enim	enim	_	_	_	_	_	_	2	CONcoo
deo	deus	_	Sing	_	_	Dat	_	_	NOMcom
pari	par	Pos	Sing	_	_	Abl	Com	2	ADJqua
consensu	consensus	_	Sing	_	_	Abl	_	_	NOMcom
ambo	ambo	_	Plur	_	_	Nom	MascNeut	2	ADJcar
uoueratis	uoueo	_	Plur	2	Ind|Pqp|Act	_	_	_	VER
perseueranter	perseueranter	Pos	_	_	_	_	_	_	ADV
usque	usque	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
finem	finis	_	Sing	_	_	Acc	_	_	NOMcom
reddere	reddo	_	_	_	Inf|Pres|Act	_	_	_	VER
ambo	ambo	_	Plur	_	_	Nom	MascNeut	2	ADJcar
debuistis	debeo	_	Plur	2	Ind|Perf|Act	_	_	_	VER

A	ab	_	_	_	_	_	_	_	PRE
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
proposito	propositum	_	Sing	_	_	Abl	_	_	NOMcom
si	si	_	_	_	_	_	_	2	CONsub
lapsus	labor	_	Sing	_	Par|Perf|Dep	Nom	Masc	2	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
tu	tu	_	Sing	_	_	Nom	_	_	PROper
saltem	saltem	Pos	_	_	_	_	_	_	ADV
constantissime	constanter	Sup	_	_	_	_	_	_	ADV
perseuera	perseuero	_	Sing	2	Imp|Pres|Act	_	_	_	VER
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
te	tu	_	Sing	_	_	Acc	_	_	PROper
non	non	_	_	_	_	_	_	_	ADVneg
exhortarer	exhortor	_	Sing	1	Sub|Impa|Dep	_	_	_	VER
nisi	nisi	_	_	_	_	_	_	_	CONsub
quia	quia	_	_	_	_	_	_	_	CONsub
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
ad	ad	_	_	_	_	_	_	2	PRE
hoc	hic	_	Sing	_	_	Acc	Neut	1	PROdem
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
consenserat	consentio	_	Sing	3	Ind|Pqp|Act	_	_	_	VER

nam	nam	_	_	_	_	_	_	_	CONcoo
si	si	_	_	_	_	_	_	2	CONsub
numquam	numquam	_	_	_	_	_	_	_	ADVneg
tenuisses	teneo	_	Sing	2	Sub|Pqp|Act	_	_	_	VER
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
adsensum	assensus	_	Sing	_	_	Acc	_	_	NOMcom
numerus	numerus	_	Sing	_	_	Nom	_	_	NOMcom
te	tu	_	Sing	_	_	Acc	_	_	PROper
nullus	nullus	_	Sing	_	_	Nom	Masc	_	PROind
defendisset	defendo	_	Sing	3	Sub|Pqp|Act	_	_	_	VER
annorum	annus	_	Plur	_	_	Gen	_	_	NOMcom
sed	sed	_	_	_	_	_	_	_	CONcoo
post	post	Pos	_	_	_	_	_	1	ADV
quantumlibet	quantumlibet	_	_	_	_	_	_	1	PROrel
tempus	tempus	_	Sing	_	_	Acc	_	1	NOMcom
me	ego	_	Sing	_	_	Acc	_	_	PROper
consuluisses	consulo	_	Sing	2	Sub|Pqp|Act	_	_	_	VER
nihil	nihil	_	_	_	_	Ind	_	_	PROind
